,season,PRRollman,Isolation,OffRebound,Cut,Postup,Misc,Transition,Spotup,Handoff,OffScreen,PRBallHandler
Jonathan Isaac,2017-18,0.071,0.0,0.0,0.137,0.066,0.066,0.132,0.379,0.0,0.0,0.0
Jonathon Simmons,2017-18,0.0,0.082,0.035,0.031,0.036,0.035,0.149,0.209,0.066,0.038,0.318
Jordan Bell,2017-18,0.122,0.039,0.141,0.278,0.071,0.106,0.18,0.051,0.0,0.0,0.0
Jordan Clarkson,2017-18,0.0,0.085,0.035,0.043,0.0,0.044,0.178,0.152,0.053,0.047,0.377
Jordan Crawford,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387
Jordan Mickey,2017-18,0.222,0.0,0.12,0.167,0.0,0.13,0.0,0.185,0.0,0.0,0.0
Jose Calderon,2017-18,0.0,0.0,0.0,0.0,0.0,0.067,0.126,0.277,0.046,0.0,0.382
Josh Gray,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509
Josh Hart,2017-18,0.0,0.028,0.037,0.054,0.0,0.054,0.315,0.347,0.056,0.024,0.078
Josh Huestis,2017-18,0.0,0.0,0.106,0.092,0.0,0.0,0.12,0.539,0.0,0.0,0.0
Josh Jackson,2017-18,0.0,0.063,0.055,0.058,0.014,0.037,0.26,0.174,0.094,0.062,0.18
Josh Magette,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.525
Josh Richardson,2017-18,0.0,0.024,0.021,0.043,0.01,0.052,0.132,0.271,0.161,0.052,0.23
Jrue Holiday,2017-18,0.011,0.112,0.013,0.05,0.032,0.055,0.191,0.134,0.054,0.057,0.291
Juancho Hernangomez,2017-18,0.0,0.0,0.148,0.0,0.0,0.0,0.159,0.489,0.0,0.0,0.0
Julius Randle,2017-18,0.118,0.085,0.103,0.094,0.209,0.071,0.194,0.099,0.009,0.0,0.014
Justin Anderson,2017-18,0.0,0.0,0.064,0.085,0.0,0.051,0.212,0.331,0.076,0.064,0.081
Justin Holiday,2017-18,0.0,0.016,0.025,0.054,0.0,0.052,0.149,0.332,0.161,0.093,0.113
Justin Jackson,2017-18,0.0,0.0,0.036,0.108,0.0,0.034,0.189,0.357,0.083,0.093,0.074
Justise Winslow,2017-18,0.029,0.039,0.047,0.083,0.026,0.085,0.178,0.306,0.054,0.0,0.139
Jusuf Nurkic,2017-18,0.276,0.022,0.116,0.164,0.223,0.083,0.039,0.073,0.0,0.0,0.0
Karl-Anthony Towns,2017-18,0.209,0.044,0.112,0.085,0.225,0.07,0.065,0.154,0.0,0.029,0.0
Kawhi Leonard,2017-18,0.0,0.14,0.0,0.0,0.077,0.0,0.154,0.182,0.0,0.0,0.308
Kelly Olynyk,2017-18,0.167,0.035,0.052,0.066,0.092,0.103,0.102,0.223,0.051,0.085,0.022
Kelly Oubre Jr.,2017-18,0.0,0.035,0.044,0.045,0.0,0.046,0.19,0.367,0.09,0.06,0.118
Kemba Walker,2017-18,0.0,0.065,0.009,0.009,0.0,0.043,0.161,0.113,0.045,0.051,0.503
Kenneth Faried,2017-18,0.117,0.0,0.245,0.199,0.117,0.102,0.163,0.0,0.0,0.0,0.0
Kent Bazemore,2017-18,0.0,0.053,0.019,0.027,0.0,0.058,0.135,0.197,0.093,0.119,0.294
Kentavious Caldwell-Pope,2017-18,0.0,0.032,0.03,0.044,0.0,0.039,0.255,0.232,0.068,0.18,0.115
Kevin Durant,2017-18,0.016,0.155,0.012,0.058,0.087,0.051,0.209,0.117,0.025,0.089,0.182
Kevin Love,2017-18,0.117,0.03,0.074,0.081,0.194,0.069,0.134,0.234,0.0,0.054,0.0
Kevon Looney,2017-18,0.116,0.039,0.162,0.301,0.054,0.093,0.1,0.108,0.0,0.0,0.0
Khem Birch,2017-18,0.209,0.0,0.226,0.266,0.085,0.068,0.068,0.073,0.0,0.0,0.0
Khris Middleton,2017-18,0.026,0.093,0.013,0.019,0.078,0.046,0.182,0.207,0.054,0.081,0.2
Klay Thompson,2017-18,0.009,0.044,0.011,0.08,0.04,0.044,0.191,0.119,0.056,0.334,0.072
Kobi Simmons,2017-18,0.0,0.057,0.0,0.069,0.0,0.078,0.22,0.192,0.061,0.0,0.282
Kosta Koufos,2017-18,0.279,0.047,0.155,0.247,0.106,0.081,0.062,0.021,0.0,0.0,0.0
Kris Dunn,2017-18,0.0,0.077,0.015,0.016,0.038,0.058,0.147,0.139,0.021,0.012,0.478
Kristaps Porzingis,2017-18,0.169,0.083,0.037,0.055,0.248,0.06,0.075,0.131,0.01,0.119,0.014
Kyle Anderson,2017-18,0.0,0.07,0.095,0.133,0.027,0.07,0.147,0.228,0.048,0.0,0.155
Kyle Collinsworth,2017-18,0.0,0.0,0.114,0.0,0.0,0.071,0.1,0.186,0.0,0.0,0.257
Kyle Korver,2017-18,0.025,0.0,0.0,0.048,0.0,0.068,0.131,0.204,0.125,0.366,0.025
Kyle Kuzma,2017-18,0.065,0.064,0.051,0.058,0.055,0.039,0.236,0.264,0.026,0.085,0.058
Kyle Lowry,2017-18,0.0,0.061,0.024,0.016,0.009,0.055,0.21,0.2,0.086,0.068,0.265
Kyle O'Quinn,2017-18,0.257,0.057,0.131,0.169,0.069,0.148,0.065,0.1,0.0,0.0,0.0
Kyrie Irving,2017-18,0.0,0.16,0.01,0.033,0.024,0.038,0.138,0.085,0.11,0.095,0.305
LaMarcus Aldridge,2017-18,0.166,0.031,0.103,0.073,0.434,0.041,0.033,0.093,0.0,0.023,0.0
Lance Stephenson,2017-18,0.0,0.138,0.038,0.016,0.0,0.05,0.154,0.206,0.033,0.017,0.339
Lance Thomas,2017-18,0.054,0.033,0.084,0.096,0.0,0.069,0.123,0.443,0.0,0.0,0.0
Langston Galloway,2017-18,0.0,0.0,0.0,0.0,0.0,0.032,0.124,0.247,0.188,0.212,0.151
Larry Nance Jr.,2017-18,0.15,0.0,0.13,0.306,0.072,0.083,0.093,0.075,0.0,0.0,0.0
Lauri Markkanen,2017-18,0.118,0.028,0.052,0.044,0.11,0.046,0.132,0.278,0.042,0.105,0.045
LeBron James,2017-18,0.028,0.244,0.03,0.055,0.092,0.066,0.21,0.047,0.011,0.009,0.209
Lonzo Ball,2017-18,0.0,0.04,0.04,0.037,0.0,0.083,0.199,0.226,0.05,0.025,0.292
Lou Williams,2017-18,0.0,0.086,0.015,0.014,0.0,0.039,0.149,0.131,0.085,0.042,0.436
Luc Mbah a Moute,2017-18,0.087,0.03,0.0,0.05,0.0,0.05,0.23,0.439,0.022,0.033,0.028
Luke Babbitt,2017-18,0.172,0.0,0.0,0.0,0.0,0.057,0.109,0.667,0.057,0.083,0.0
Luke Kennard,2017-18,0.0,0.0,0.0,0.046,0.0,0.046,0.124,0.204,0.257,0.135,0.154
Luke Kornet,2017-18,0.275,0.0,0.0,0.113,0.07,0.0,0.085,0.345,0.0,0.0,0.0
Malachi Richardson,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.472,0.13,0.0,0.102
Malcolm Brogdon,2017-18,0.0,0.055,0.025,0.093,0.017,0.033,0.187,0.224,0.038,0.061,0.254
Malcolm Delaney,2017-18,0.0,0.097,0.0,0.0,0.0,0.048,0.13,0.219,0.041,0.054,0.375
Manu Ginobili,2017-18,0.0,0.035,0.0,0.029,0.0,0.058,0.106,0.275,0.077,0.047,0.355
MarShon Brooks,2017-18,0.0,0.291,0.0,0.0,0.0,0.0,0.157,0.126,0.0,0.0,0.26
Marc Gasol,2017-18,0.275,0.052,0.023,0.049,0.277,0.059,0.06,0.149,0.021,0.033,0.0
Marcin Gortat,2017-18,0.209,0.0,0.103,0.319,0.166,0.106,0.045,0.026,0.0,0.0,0.0
Marco Belinelli,2017-18,0.0,0.0,0.017,0.112,0.0,0.038,0.091,0.15,0.233,0.159,0.086
Marcus Morris,2017-18,0.088,0.126,0.028,0.041,0.131,0.057,0.118,0.227,0.069,0.058,0.057
Marcus Smart,2017-18,0.0,0.088,0.031,0.028,0.067,0.084,0.116,0.21,0.053,0.031,0.287
Mario Chalmers,2017-18,0.0,0.064,0.0,0.029,0.0,0.077,0.132,0.225,0.061,0.045,0.355
Mario Hezonja,2017-18,0.024,0.06,0.025,0.062,0.0,0.035,0.19,0.337,0.044,0.096,0.116
Markelle Fultz,2017-18,0.0,0.08,0.0,0.072,0.0,0.0,0.275,0.167,0.0,0.0,0.261
Markieff Morris,2017-18,0.151,0.059,0.043,0.091,0.18,0.082,0.092,0.231,0.0,0.055,0.0
Marquese Chriss,2017-18,0.108,0.04,0.069,0.098,0.082,0.108,0.146,0.308,0.0,0.029,0.0
Marreese Speights,2017-18,0.197,0.041,0.036,0.027,0.129,0.058,0.1,0.319,0.034,0.054,0.0
Marvin Williams,2017-18,0.107,0.0,0.065,0.079,0.074,0.053,0.159,0.372,0.015,0.072,0.0
Mason Plumlee,2017-18,0.164,0.035,0.124,0.255,0.171,0.127,0.089,0.035,0.0,0.0,0.0
Matthew Dellavedova,2017-18,0.0,0.0,0.0,0.0,0.0,0.124,0.11,0.282,0.0,0.0,0.349
Maurice Harkless,2017-18,0.0,0.038,0.093,0.129,0.121,0.055,0.135,0.321,0.033,0.027,0.0
Maxi Kleber,2017-18,0.154,0.0,0.088,0.181,0.063,0.044,0.085,0.299,0.0,0.058,0.0
Michael Beasley,2017-18,0.126,0.208,0.067,0.055,0.168,0.05,0.099,0.151,0.014,0.035,0.026
Michael Carter-Williams,2017-18,0.0,0.071,0.04,0.059,0.0,0.071,0.114,0.241,0.071,0.0,0.312
Michael Kidd-Gilchrist,2017-18,0.0,0.038,0.048,0.123,0.044,0.028,0.254,0.357,0.039,0.0,0.06
Mike Conley,2017-18,0.0,0.151,0.0,0.0,0.0,0.0,0.085,0.165,0.075,0.052,0.415
Mike James,2017-18,0.0,0.115,0.0,0.0,0.0,0.05,0.158,0.068,0.04,0.0,0.539
Mike Muscala,2017-18,0.251,0.0,0.117,0.091,0.0,0.078,0.099,0.298,0.0,0.037,0.0
Mike Scott,2017-18,0.209,0.025,0.051,0.13,0.123,0.046,0.088,0.254,0.0,0.043,0.017
Miles Plumlee,2017-18,0.294,0.0,0.129,0.272,0.063,0.125,0.055,0.04,0.0,0.0,0.0
Milos Teodosic,2017-18,0.0,0.029,0.0,0.0,0.0,0.059,0.105,0.242,0.099,0.025,0.422
Milton Doyle,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.241
Mirza Teletovic,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531,0.0,0.0,0.0
Montrezl Harrell,2017-18,0.158,0.027,0.105,0.172,0.209,0.06,0.199,0.05,0.0,0.0,0.014
Myke Henry,2017-18,0.0,0.0,0.0,0.076,0.0,0.083,0.182,0.379,0.0,0.091,0.076
Myles Turner,2017-18,0.386,0.023,0.073,0.096,0.117,0.082,0.065,0.145,0.0,0.0,0.0
Nemanja Bjelica,2017-18,0.054,0.034,0.077,0.072,0.0,0.056,0.165,0.415,0.034,0.032,0.043
Nene,2017-18,0.366,0.058,0.08,0.2,0.077,0.071,0.077,0.055,0.0,0.0,0.0
Nerlens Noel,2017-18,0.275,0.0,0.19,0.261,0.0,0.12,0.099,0.0,0.0,0.0,0.0
Nick Young,2017-18,0.0,0.04,0.0,0.027,0.0,0.056,0.191,0.287,0.067,0.218,0.085
Nicolas Batum,2017-18,0.0,0.057,0.036,0.031,0.1,0.068,0.081,0.157,0.077,0.203,0.187
Nigel Hayes,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.0,0.0,0.0
Nik Stauskas,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.326,0.082,0.103,0.239
Nikola Jokic,2017-18,0.197,0.04,0.083,0.093,0.244,0.085,0.068,0.147,0.0,0.021,0.018
Nikola Mirotic,2017-18,0.055,0.03,0.033,0.073,0.11,0.043,0.111,0.269,0.038,0.033,0.025
Nikola Vucevic,2017-18,0.237,0.029,0.074,0.119,0.183,0.061,0.09,0.166,0.014,0.025,0.0
Noah Vonleh,2017-18,0.117,0.0,0.129,0.074,0.074,0.061,0.135,0.202,0.0,0.0,0.0
Norman Powell,2017-18,0.0,0.0,0.0,0.024,0.0,0.024,0.258,0.318,0.044,0.046,0.256
OG Anunoby,2017-18,0.0,0.0,0.041,0.089,0.0,0.026,0.239,0.471,0.033,0.0,0.041
Okaro White,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.0,0.0,0.0
Omari Johnson,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.0,0.0,0.0
Omri Casspi,2017-18,0.0,0.0,0.077,0.304,0.059,0.117,0.187,0.139,0.0,0.0,0.0
Otto Porter Jr.,2017-18,0.04,0.038,0.056,0.082,0.034,0.041,0.173,0.263,0.045,0.109,0.118
PJ Tucker,2017-18,0.101,0.0,0.063,0.026,0.0,0.087,0.175,0.501,0.0,0.0,0.0
Pascal Siakam,2017-18,0.073,0.046,0.069,0.128,0.02,0.049,0.243,0.349,0.0,0.0,0.017
Pat Connaughton,2017-18,0.0,0.042,0.0,0.093,0.0,0.04,0.108,0.369,0.066,0.15,0.093
Patrick Beverley,2017-18,0.0,0.066,0.0,0.0,0.0,0.0,0.132,0.303,0.0,0.0,0.368
Patrick McCaw,2017-18,0.0,0.0,0.0,0.161,0.0,0.072,0.158,0.262,0.047,0.068,0.172
Patrick Patterson,2017-18,0.199,0.0,0.053,0.044,0.062,0.059,0.146,0.436,0.0,0.0,0.0
Patty Mills,2017-18,0.0,0.032,0.0,0.025,0.0,0.071,0.1,0.255,0.092,0.076,0.338
Pau Gasol,2017-18,0.26,0.023,0.099,0.094,0.159,0.075,0.054,0.219,0.0,0.0,0.0
Paul George,2017-18,0.021,0.115,0.016,0.021,0.024,0.041,0.168,0.16,0.041,0.141,0.252
Paul Millsap,2017-18,0.085,0.088,0.06,0.074,0.188,0.04,0.1,0.235,0.024,0.06,0.045
Paul Zipser,2017-18,0.0,0.08,0.0,0.052,0.0,0.055,0.104,0.471,0.048,0.048,0.093
Quincy Acy,2017-18,0.325,0.0,0.024,0.022,0.0,0.068,0.075,0.442,0.0,0.0,0.0
Quinn Cook,2017-18,0.0,0.0,0.0,0.044,0.0,0.055,0.222,0.195,0.075,0.078,0.3
Rajon Rondo,2017-18,0.0,0.054,0.0,0.023,0.0,0.076,0.209,0.195,0.044,0.015,0.368
Ramon Sessions,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.235,0.0,0.0,0.649
Raul Neto,2017-18,0.0,0.064,0.0,0.0,0.0,0.049,0.158,0.261,0.069,0.0,0.34
Raymond Felton,2017-18,0.0,0.109,0.0,0.0,0.0,0.042,0.089,0.22,0.042,0.028,0.453
Reggie Bullock,2017-18,0.0,0.0,0.023,0.112,0.0,0.031,0.161,0.251,0.262,0.094,0.062
Reggie Jackson,2017-18,0.0,0.122,0.0,0.0,0.0,0.048,0.135,0.081,0.078,0.0,0.503
Richaun Holmes,2017-18,0.197,0.0,0.114,0.242,0.0,0.076,0.145,0.17,0.0,0.0,0.0
Ricky Rubio,2017-18,0.0,0.042,0.009,0.014,0.0,0.054,0.142,0.259,0.076,0.0,0.398
Robert Covington,2017-18,0.018,0.0,0.027,0.058,0.0,0.07,0.263,0.36,0.086,0.082,0.031
Robin Lopez,2017-18,0.347,0.013,0.111,0.158,0.137,0.09,0.032,0.102,0.0,0.0,0.0
Rodney Hood,2017-18,0.015,0.068,0.0,0.018,0.0,0.02,0.218,0.186,0.141,0.059,0.223
Rodney McGruder,2017-18,0.0,0.0,0.0,0.123,0.0,0.0,0.235,0.296,0.0,0.0,0.0
Rodney Purvis,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.287,0.0,0.148,0.189
Ron Baker,2017-18,0.0,0.0,0.0,0.0,0.0,0.122,0.144,0.267,0.0,0.0,0.211
Rondae Hollis-Jefferson,2017-18,0.097,0.108,0.058,0.123,0.15,0.052,0.198,0.168,0.0,0.0,0.032
Royce O'Neale,2017-18,0.0,0.043,0.0,0.043,0.0,0.062,0.255,0.363,0.035,0.035,0.148
Rudy Gay,2017-18,0.055,0.145,0.061,0.05,0.161,0.056,0.112,0.239,0.0,0.024,0.084
Rudy Gobert,2017-18,0.238,0.0,0.158,0.312,0.036,0.124,0.075,0.03,0.0,0.0,0.0
Russell Westbrook,2017-18,0.0,0.175,0.033,0.012,0.07,0.051,0.232,0.069,0.029,0.01,0.318
Ryan Anderson,2017-18,0.182,0.018,0.084,0.023,0.029,0.02,0.157,0.378,0.0,0.093,0.0
Ryan Arcidiacono,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.404,0.0,0.0,0.193
Salah Mejri,2017-18,0.275,0.0,0.211,0.181,0.0,0.172,0.098,0.0,0.0,0.0,0.0
Sam Dekker,2017-18,0.054,0.041,0.076,0.18,0.0,0.063,0.233,0.274,0.0,0.0,0.035
Sean Kilpatrick,2017-18,0.0,0.075,0.0,0.0,0.0,0.0,0.2,0.273,0.082,0.0,0.309
Semi Ojeleye,2017-18,0.057,0.0,0.0,0.087,0.0,0.0,0.174,0.478,0.048,0.0,0.0
Serge Ibaka,2017-18,0.202,0.047,0.062,0.052,0.066,0.034,0.143,0.367,0.0,0.018,0.0
Shabazz Muhammad,2017-18,0.0,0.16,0.0,0.0,0.0,0.0,0.253,0.16,0.0,0.0,0.0
Shabazz Napier,2017-18,0.0,0.113,0.0,0.024,0.0,0.044,0.127,0.166,0.059,0.073,0.378
Shane Larkin,2017-18,0.0,0.097,0.0,0.0,0.0,0.037,0.112,0.178,0.067,0.052,0.424
Shaquille Harrison,2017-18,0.0,0.067,0.0,0.08,0.0,0.0,0.294,0.196,0.0,0.0,0.215
Shaun Livingston,2017-18,0.0,0.09,0.036,0.199,0.154,0.073,0.254,0.043,0.031,0.033,0.083
Shelvin Mack,2017-18,0.0,0.062,0.02,0.02,0.0,0.046,0.142,0.21,0.078,0.0,0.403
Sindarius Thornwell,2017-18,0.0,0.0,0.037,0.052,0.0,0.058,0.285,0.411,0.04,0.0,0.067
Skal Labissiere,2017-18,0.181,0.06,0.116,0.15,0.214,0.069,0.064,0.135,0.0,0.0,0.0
Solomon Hill,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.358,0.0,0.0,0.0
Spencer Dinwiddie,2017-18,0.0,0.187,0.019,0.0,0.0,0.06,0.103,0.173,0.031,0.031,0.387
Stanley Johnson,2017-18,0.0,0.052,0.027,0.021,0.034,0.047,0.248,0.323,0.085,0.02,0.139
Stephen Curry,2017-18,0.011,0.069,0.012,0.053,0.0,0.07,0.186,0.113,0.047,0.178,0.261
Sterling Brown,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.386,0.05,0.062,0.066
Steven Adams,2017-18,0.24,0.0,0.248,0.217,0.112,0.093,0.089,0.0,0.0,0.0,0.0
T.J. McConnell,2017-18,0.0,0.047,0.0,0.044,0.0,0.096,0.182,0.191,0.056,0.0,0.36
T.J. Warren,2017-18,0.0,0.061,0.083,0.103,0.063,0.034,0.223,0.116,0.037,0.136,0.14
Taj Gibson,2017-18,0.142,0.013,0.138,0.24,0.159,0.063,0.092,0.152,0.0,0.0,0.0
Tarik Black,2017-18,0.353,0.0,0.166,0.214,0.0,0.118,0.0,0.07,0.0,0.0,0.0
Taurean Prince,2017-18,0.011,0.058,0.019,0.02,0.0,0.028,0.18,0.271,0.074,0.143,0.193
Terrance Ferguson,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.565,0.0,0.0,0.0
Terrence Ross,2017-18,0.0,0.0,0.0,0.0,0.0,0.06,0.183,0.306,0.157,0.123,0.115
Terry Rozier,2017-18,0.0,0.087,0.023,0.016,0.0,0.055,0.172,0.205,0.076,0.119,0.242
Thabo Sefolosha,2017-18,0.0,0.0,0.054,0.099,0.0,0.0,0.262,0.374,0.0,0.0,0.068
Tim Frazier,2017-18,0.0,0.078,0.0,0.0,0.0,0.107,0.173,0.193,0.074,0.0,0.313
Tim Hardaway Jr.,2017-18,0.0,0.054,0.023,0.048,0.0,0.046,0.23,0.222,0.07,0.116,0.189
Timofey Mozgov,2017-18,0.223,0.0,0.129,0.187,0.158,0.072,0.079,0.144,0.0,0.0,0.0
Timothe Luwawu-Cabarrot,2017-18,0.0,0.0,0.0,0.075,0.0,0.066,0.213,0.381,0.087,0.072,0.069
Tobias Harris,2017-18,0.033,0.086,0.017,0.028,0.066,0.022,0.124,0.274,0.052,0.052,0.159
Tomas Satoransky,2017-18,0.0,0.045,0.047,0.06,0.0,0.082,0.19,0.274,0.054,0.031,0.2
Tony Allen,2017-18,0.0,0.0,0.117,0.225,0.0,0.1,0.25,0.175,0.0,0.0,0.0
Tony Parker,2017-18,0.0,0.063,0.0,0.022,0.0,0.02,0.122,0.203,0.055,0.0,0.498
Tony Snell,2017-18,0.0,0.029,0.0,0.035,0.0,0.025,0.228,0.419,0.116,0.071,0.064
Torrey Craig,2017-18,0.0,0.0,0.16,0.143,0.0,0.0,0.2,0.303,0.069,0.0,0.0
Travis Wear,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.463,0.0,0.0,0.0
Treveon Graham,2017-18,0.0,0.0,0.095,0.036,0.0,0.069,0.157,0.489,0.036,0.0,0.055
Trevor Ariza,2017-18,0.04,0.022,0.023,0.022,0.0,0.045,0.266,0.39,0.042,0.102,0.048
Trevor Booker,2017-18,0.09,0.0,0.214,0.163,0.124,0.085,0.08,0.145,0.0,0.0,0.0
Trey Burke,2017-18,0.0,0.124,0.0,0.0,0.0,0.049,0.144,0.14,0.06,0.031,0.422
Trey Lyles,2017-18,0.134,0.061,0.05,0.077,0.131,0.05,0.099,0.294,0.037,0.049,0.018
Tristan Thompson,2017-18,0.188,0.0,0.25,0.253,0.045,0.094,0.11,0.049,0.0,0.0,0.0
Troy Daniels,2017-18,0.0,0.015,0.0,0.021,0.0,0.038,0.13,0.249,0.177,0.284,0.076
Troy Williams,2017-18,0.0,0.0,0.132,0.147,0.0,0.0,0.279,0.279,0.0,0.0,0.078
Tyler Cavanaugh,2017-18,0.171,0.0,0.143,0.103,0.0,0.057,0.114,0.383,0.0,0.0,0.0
Tyler Dorsey,2017-18,0.0,0.074,0.0,0.025,0.0,0.036,0.15,0.282,0.078,0.114,0.228
Tyler Ennis,2017-18,0.0,0.091,0.0,0.047,0.0,0.073,0.156,0.156,0.065,0.0,0.396
Tyler Johnson,2017-18,0.0,0.018,0.015,0.04,0.0,0.037,0.153,0.262,0.172,0.073,0.225
Tyler Ulis,2017-18,0.0,0.083,0.0,0.017,0.0,0.053,0.119,0.118,0.057,0.0,0.529
Tyler Zeller,2017-18,0.218,0.0,0.226,0.188,0.052,0.045,0.081,0.135,0.0,0.0,0.0
Tyreke Evans,2017-18,0.0,0.141,0.027,0.019,0.0,0.048,0.172,0.131,0.051,0.026,0.38
Tyrone Wallace,2017-18,0.0,0.048,0.0,0.121,0.0,0.036,0.291,0.242,0.042,0.0,0.148
Tyson Chandler,2017-18,0.25,0.0,0.274,0.208,0.0,0.184,0.066,0.0,0.0,0.0,0.0
Tyus Jones,2017-18,0.0,0.043,0.0,0.029,0.0,0.09,0.24,0.297,0.043,0.0,0.235
Victor Oladipo,2017-18,0.0,0.103,0.014,0.02,0.0,0.043,0.206,0.101,0.073,0.064,0.377
Vince Carter,2017-18,0.048,0.03,0.0,0.048,0.102,0.063,0.096,0.423,0.042,0.051,0.072
Wayne Ellington,2017-18,0.018,0.0,0.0,0.023,0.0,0.034,0.123,0.215,0.342,0.196,0.044
Wayne Selden,2017-18,0.0,0.066,0.0,0.031,0.0,0.049,0.166,0.249,0.066,0.077,0.28
Wes Iwundu,2017-18,0.0,0.048,0.074,0.115,0.0,0.045,0.23,0.301,0.052,0.0,0.104
Wesley Johnson,2017-18,0.0,0.0,0.022,0.078,0.0,0.069,0.192,0.467,0.06,0.025,0.069
Wesley Matthews,2017-18,0.0,0.068,0.0,0.026,0.088,0.04,0.103,0.311,0.054,0.179,0.118
Will Barton,2017-18,0.0,0.098,0.037,0.044,0.0,0.054,0.232,0.195,0.056,0.01,0.268
Willie Cauley-Stein,2017-18,0.216,0.089,0.081,0.148,0.161,0.072,0.094,0.125,0.0,0.0,0.0
Willie Reed,2017-18,0.238,0.0,0.146,0.28,0.098,0.104,0.073,0.0,0.0,0.0,0.0
Willy Hernangomez,2017-18,0.223,0.0,0.223,0.182,0.132,0.0,0.0,0.0,0.0,0.0,0.0
Wilson Chandler,2017-18,0.013,0.104,0.072,0.088,0.074,0.053,0.144,0.272,0.072,0.046,0.062
Xavier Rathan-Mayes,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579
Yogi Ferrell,2017-18,0.0,0.061,0.0,0.028,0.0,0.041,0.135,0.272,0.062,0.085,0.302
Zach Collins,2017-18,0.148,0.0,0.082,0.115,0.165,0.093,0.041,0.332,0.0,0.0,0.0
Zach LaVine,2017-18,0.0,0.113,0.0,0.0,0.0,0.0,0.161,0.084,0.093,0.073,0.42
Zach Randolph,2017-18,0.151,0.107,0.083,0.04,0.318,0.069,0.045,0.157,0.0,0.016,0.0
Zaza Pachulia,2017-18,0.162,0.0,0.131,0.293,0.079,0.128,0.126,0.063,0.0,0.0,0.0
Aaron Gordon,2018-19,0.026,0.06,0.07,0.069,0.132,0.041,0.14,0.204,0.069,0.069,0.121
Aaron Holiday,2018-19,0.0,0.04,0.0,0.0,0.0,0.068,0.189,0.238,0.111,0.0,0.322
Abdel Nader,2018-19,0.0,0.049,0.0,0.0,0.0,0.0,0.236,0.492,0.0,0.0,0.089
Al Horford,2018-19,0.316,0.028,0.056,0.09,0.165,0.057,0.085,0.176,0.0,0.019,0.0
Al-Farouq Aminu,2018-19,0.035,0.034,0.08,0.103,0.0,0.054,0.154,0.47,0.015,0.026,0.022
Alec Burks,2018-19,0.0,0.114,0.044,0.051,0.026,0.058,0.125,0.236,0.118,0.069,0.299
Alex Abrines,2018-19,0.056,0.0,0.0,0.0,0.0,0.0,0.175,0.424,0.085,0.113,0.079
Alex Caruso,2018-19,0.0,0.053,0.0,0.065,0.0,0.086,0.147,0.147,0.041,0.0,0.416
Alex Len,2018-19,0.197,0.015,0.146,0.142,0.109,0.081,0.086,0.213,0.0,0.0,0.0
Alex Poythress,2018-19,0.179,0.0,0.16,0.104,0.0,0.104,0.16,0.292,0.0,0.0,0.0
Alfonzo McKinnie,2018-19,0.0,0.0,0.135,0.156,0.0,0.061,0.175,0.383,0.031,0.0,0.0
Allen Crabbe,2018-19,0.0,0.0,0.0,0.0,0.0,0.053,0.128,0.348,0.087,0.297,0.032
Allonzo Trier,2018-19,0.0,0.106,0.024,0.015,0.0,0.039,0.23,0.167,0.042,0.033,0.336
Amir Johnson,2018-19,0.123,0.0,0.155,0.237,0.0,0.16,0.119,0.164,0.0,0.0,0.0
Andre Drummond,2018-19,0.148,0.026,0.258,0.156,0.185,0.088,0.099,0.037,0.0,0.0,0.0
Andre Iguodala,2018-19,0.0,0.031,0.026,0.141,0.0,0.084,0.227,0.347,0.037,0.0,0.05
Andrew Bogut,2018-19,0.0,0.0,0.244,0.244,0.0,0.222,0.0,0.0,0.0,0.0,0.0
Andrew Harrison,2018-19,0.0,0.218,0.0,0.0,0.0,0.0,0.0,0.218,0.0,0.0,0.309
Andrew Wiggins,2018-19,0.0,0.082,0.038,0.054,0.08,0.036,0.14,0.164,0.101,0.036,0.265
Ante Zizic,2018-19,0.22,0.0,0.2,0.18,0.231,0.062,0.073,0.022,0.0,0.0,0.0
Anthony Davis,2018-19,0.141,0.077,0.108,0.098,0.183,0.064,0.13,0.118,0.014,0.055,0.014
